# Generated by from ihu_topmodel.bsh start_date=2010-01-01 end_date=2019-12-31
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000274 .00314
0.011198 .00263
0.014087 .00110
0.000048 .00412
0.005954 .00207
0.000001 .00269
0.001156 .00317
0.003555 .00255
0.000082 .00215
0.000000 .00395
0.004709 .00413
0.016150 .00371
0.000212 .00348
0.000976 .00085
0.000021 .00210
0.000004 .00425
0.000047 .00307
0.000019 .00371
0.000002 .00448
0.000000 .00406
0.000028 .00309
0.000009 .00410
0.000000 .00407
0.000202 .00422
0.000173 .00406
0.000000 .00428
0.004829 .00356
0.000587 .00354
0.000001 .00370
0.009193 .00437
0.006204 .00440
0.000004 .00420
0.000005 .00409
0.000000 .00364
0.000004 .00458
0.007275 .00359
0.005515 .00377
0.009875 .00396
0.003109 .00388
0.000004 .00352
0.000056 .00430
0.000019 .00329
0.005983 .00264
0.000605 .00142
0.000217 .00464
0.003406 .00326
0.001364 .00415
0.006768 .00225
0.002897 .00422
0.001546 .00416
0.000000 .00480
0.000000 .00496
0.000000 .00505
0.000001 .00466
0.000000 .00546
0.000000 .00384
0.000000 .00419
0.000000 .00544
0.000000 .00410
0.000000 .00446
0.000000 .00510
0.000055 .00516
0.000000 .00515
0.000000 .00540
0.000001 .00455
0.000000 .00340
0.000002 .00321
0.001281 .00376
0.022705 .00350
0.012098 .00469
0.002328 .00488
0.000160 .00493
0.025297 .00520
0.008329 .00319
0.008344 .00437
0.001219 .00452
0.013452 .00408
0.005127 .00429
0.000840 .00475
0.005975 .00444
0.008068 .00465
0.002625 .00142
0.000003 .00374
0.000132 .00410
0.000460 .00419
0.000132 .00362
0.001217 .00342
0.001528 .00388
0.000600 .00356
0.000008 .00328
0.007252 .00412
0.007042 .00344
0.002406 .00380
0.008037 .00130
0.000752 .00373
0.000004 .00328
0.003136 .00324
0.001973 .00282
0.000056 .00348
0.000703 .00305
0.000469 .00121
0.000053 .00266
0.000002 .00343
0.000342 .00348
0.000182 .00132
0.000162 .00282
0.001396 .00326
0.000119 .00330
0.000560 .00260
0.000019 .00345
0.000000 .00314
0.000000 .00319
0.001996 .00304
0.039081 .00092
0.003019 .00238
0.000384 .00289
0.002126 .00244
0.000003 .00160
0.004292 .00127
0.003683 .00251
0.002311 .00105
0.004220 .00214
0.017670 .00120
0.001580 .00239
0.000363 .00210
0.005547 .00223
0.004588 .00085
0.000114 .00168
0.000136 .00207
0.000072 .00210
0.000368 .00201
0.001051 .00097
0.000890 .00086
0.001828 .00205
0.000274 .00158
0.000004 .00182
0.000000 .00159
0.000000 .00150
0.001180 .00194
0.008811 .00108
